isim,takim,ülke,maas,pozisyon,yas,sezon,macsayisi,golsayisi,dakika,ilkonbir
Kevin McCann,East Kilbride,Ýskoçya,0-500,Defans,30-40,8,101,0-100,7707,89
David van Zanten,Airdrieonians,Ýrlanda,0-500,Defans,30-40,9,229,0-100,18636,207
Paul Hanlon,Hibernian,Ýskoçya,500-1000,Defans,30-40,14,440,0-100,38422,426
Darren McCormack,Brechin City,Ýskoçya,0-500,Defans,30-40,8,145,0-100,11286,131
Stefan Deloose,Rupel Boom,Belçika,0-500,Kaleci,30-40,6,57,0-100,5111,57
Lewis Stevenson,Hibernian,Ýskoçya,0-500,Ortasaha,30-40,14,458,0-100,37846,422
Yoav David Ziv,Hapoel Petah Tikva,Ýsrail,500-1000,Defans,30-40,10,115,0-100,9056,100
Hassan el Mouataz,Bornem,Fas,0-500,Defans,30-40,6,119,0-100,9391,104
John Rankin,Clyde,Ýskoçya,0-500,Ortasaha,30-40,13,446,0-100,36617,413
Veldin Muharemovic,Fola Esch,Bosna-Hersek,0-500,Defans,30-40,13,196,0-100,13840,164
Arne Ivens,VW Hamme,Belçika,0-500,Ortasaha,30-40,5,92,0-100,7443,82
Kwinten Clappaert,Hoek,Belçika,0-500,Ortasaha,30-40,1,3,0-100,149,2
Ahmed Toure,Kaloum Star,Fildiþi Sahili,0-500,Forvet,30-40,4,17,0-100,856,9
Derick Tshimanga,Oud-Heverlee Leuven,Demokratik Kongo Cumhuriyeti,500-1000,Defans,30-40,12,310,0-100,25305,292
Nill de Pauw,Royal Antwerp,Demokratik Kongo Cumhuriyeti,500-1000,Forvet,30-40,13,380,0-100,24809,290
Ludovic Govoni,KVK Tienen,Belçika,0-500,Kaleci,30-40,1,1,0-100,90,1
Mario Matos,Estoril,Brezilya,0-500,Kaleci,30-40,3,9,0-100,810,9
Yohan Brouckaert,RWDM 47,Belçika,0-500,Defans,30-40,7,124,0-100,8277,94
Blazej Radler,Rakow Czestochowa,Polonya,0-500,Defans,30-40,5,74,0-100,5669,65
Josip Barisic,Radnik Sesvete,Hýrvatistan,0-500,Forvet,30-40,4,77,0-100,6444,72
Jeremy Perbet,Oud-Heverlee Leuven,Fransa,500-1000,Forvet,30-40,13,361,100-200,20725,235
Rafael Santiago Maria,Concordia,Brezilya,0-500,Forvet,30-40,9,86,0-100,4821,57
Jan Slovenciak,Parndorf,Slovakya,0-500,Kaleci,30-40,2,5,0-100,373,4
Chemcedine El Araichi,Geants Athois,Fas,500-1000,Defans,30-40,3,79,0-100,6541,73
Daan van Gijseghem,Oudenaarde,Belçika,500-1000,Defans,30-40,10,206,0-100,17229,196
Bastien Chantry,Tournai,Belçika,0-500,Defans,30-40,3,71,0-100,5809,65
Sylvain Berton,Ronse,Belçika,0-500,Ortasaha,30-40,3,20,0-100,936,10
Jaycee Okwunwanne,Bangkok United,Bahreyn,1000-10000,Forvet,30-40,10,155,0-100,9940,118
Maxime Lestienne,Standard Liege,Belçika,1000-10000,Forvet,25-30,13,324,0-100,18753,205
Idir Ouali,Hatayspor,Fransa,0-500,Ortasaha,30-40,13,318,0-100,21097,235
Tom Vandenbossche,Sparta Petegem,Belçika,0-500,Kaleci,30-40,4,95,0-100,8394,94
Kristof van Hout,Westerlo,Belçika,0-500,Kaleci,30-40,12,117,0-100,10340,114
Bram de Ly,Dender EH,Belçika,0-500,Defans,30-40,2,37,0-100,2918,33
Brecht Verbrugghe,Tournai,Belçika,500-1000,Defans,30-40,5,101,0-100,8363,95
Anthony Bartholome,Kortrijk,Fransa,0-500,Defans,30-40,2,10,0-100,536,4
Tristan Lahaye,Niort,Fransa,0-500,Defans,30-40,8,170,0-100,14024,162
Nebojsa Pavlovic,Kortrijk,Sýrbistan,0-500,Ortasaha,30-40,9,269,0-100,22973,261
Jimmy Hempte,KV Oostende,Belçika,500-1000,Defans,30-40,7,156,0-100,12271,141
Jo Vermast,Kortrijk,Belçika,0-500,Ortasaha,30-40,1,7,0-100,123,1
Mustapha Oussalah,Sprimont-Comblain,Fas,0-500,Ortasaha,30-40,9,212,0-100,16480,192
Ibou,URS Lixhe-Lanaye,Gambiya,0-500,Forvet,30-40,12,295,0-100,18403,209
Cedric Betremieux,Istres,Fransa,0-500,Forvet,30-40,3,32,0-100,1822,23
Hendry Thomas,CD Olimpia,Honduras,1000-10000,Ortasaha,30-40,9,141,0-100,10945,130
Yves de Winter,Royal Antwerp,Belçika,0-500,Kaleci,30-40,9,122,0-100,10928,121
Getulio,Boavista SC,Brezilya,0-500,Kaleci,30-40,3,21,0-100,1876,21
Nicolas Timmermans,RWDM 47,Belçika,0-500,Defans,30-40,9,144,0-100,11373,128
Luis Pedro,TEC,Hollanda,0-500,Forvet,30-40,12,203,0-100,10350,117
Wouter Corstjens,Patro Eisden,Hollanda,500-1000,Defans,30-40,12,230,0-100,18303,208
Mitchell Schet,Slovan Bratislava,Hollanda,500-1000,Forvet,30-40,10,163,0-100,10622,129
Yuri Zhevnov,Ural,Belarus,0-500,Kaleci,30-40,11,156,0-100,13575,152
Aleksandr Sheshukov,Znamya Noginsk,Rusya,500-1000,Defans,30-40,11,251,0-100,19870,228
Gia Grigalava,Arsenal Tula,Gürcistan,500-1000,Defans,30-40,12,249,0-100,20922,237
Kirill Nababkin,CSKA Moscow,Rusya,1000-10000,Defans,30-40,13,294,0-100,23290,258
Alexandru Epureanu,Baþakþehir FK,Moldova,1000-10000,Defans,30-40,17,460,0-100,38284,424
Dacosta Goore,Narva Trans,Fildiþi Sahili,500-1000,Defans,30-40,7,97,0-100,8273,95
Jo Christiaens,Thes Sport,Belçika,0-500,Defans,30-40,7,163,0-100,13589,156
Dmitri Tarasov,Rubin Kazan,Rusya,1000-10000,Ortasaha,30-40,13,258,0-100,17005,199
Steven de Petter,Sint-Truiden,Belçika,0-500,Ortasaha,30-40,11,291,0-100,24434,274
Glenn van Asten,Heist,Belçika,0-500,Ortasaha,30-40,2,16,0-100,576,4
Onur Bilgin,Yomraspor,Türkiye,0-500,Kaleci,30-40,14,220,0-100,19541,216
Wouter Scheelen,Lommel United,Belçika,0-500,Ortasaha,30-40,8,195,0-100,13808,168
Emanuel Sarki,Partizan Bardejov,Nijerya,500-1000,Ortasaha,30-40,8,122,0-100,6061,61
Michael Modubi,Dessel Sport,Güney Afrika,0-500,Ortasaha,30-40,4,43,0-100,3087,35
Tom van Imschoot,FC Eindhoven,Belçika,0-500,Ortasaha,30-40,6,118,0-100,7528,86
Johan Sotil,Cesar Vallejo,Peru,0-500,Ortasaha,30-40,3,9,0-100,379,4
Moses Adams,Ironi Tiberias,Nijerya,0-500,Ortasaha,30-40,5,79,0-100,5617,66
Pavel Golyshev,Navbahor Namangan,Rusya,1000-10000,Ortasaha,30-40,12,234,0-100,14271,175
Rachid Farssi,ASV Geel,Fas,500-1000,Ortasaha,30-40,7,158,0-100,11735,137
Jarno Molenberghs,Lierse Kempenzonen,Belçika,500-1000,Ortasaha,30-40,8,178,0-100,11524,126
Soufiane Bidaoui,Spezia,Fas,500-1000,Ortasaha,30-40,9,192,0-100,12343,139
Edgaras Cesnauskis,Rostov,Litvanya,1000-10000,Ortasaha,30-40,9,143,0-100,10231,119
Jaime Ruiz,Heist,Kolombiya,500-1000,Forvet,30-40,7,109,0-100,6890,80
Aleksandr Marenich,Lokomotiv Moscow,Rusya,1000-10000,Forvet,30-40,2,35,0-100,1929,21
Aleksandr Stavpets,Nizhny Novgorod,Rusya,0-500,Forvet,30-40,11,242,0-100,13343,149
Igor Strelkov,Anzhi Makhachkala,Rusya,0-500,Forvet,30-40,3,62,0-100,3120,28
Khalifa Papa Sankare,Cadiz,Senegal,0-500,Defans,30-40,7,211,0-100,17870,200
Julien Bailleul,Lokeren,Fransa,0-500,Defans,30-40,1,9,0-100,231,3
Ivica Dzidic,Siroki Brijeg,Hýrvatistan,0-500,Defans,30-40,7,43,0-100,3320,38
Francesco Migliore,Cremonese,Ýtalya,1000-10000,Defans,30-40,11,290,0-100,24925,281
Agyeman Dickson,Jaro,Gana,0-500,Ortasaha,30-40,3,57,0-100,4910,57
David Fleurival,Rodange,Fransa,1000-10000,Ortasaha,30-40,13,284,0-100,21733,246
Nicky Kuiper,TEC,Hollanda,0-500,Defans,30-40,9,95,0-100,6823,74
Moussa Gueye,RFC Seraing,Senegal,500-1000,Forvet,30-40,10,142,0-100,7700,89
Mustapha Alasan Jarju,Sporting Hasselt,Gambiya,500-1000,Forvet,30-40,8,162,0-100,11483,128
Evariste Ngolok,ÝB Vestmannaeyjar,Kamerun,1000-10000,Ortasaha,30-40,8,164,0-100,11740,138
Fred,Botafogo PB,Brezilya,1000-10000,Defans,30-40,12,232,0-100,19218,223
Siebe Blondelle,Deinze,Belçika,0-500,Defans,30-40,16,350,0-100,26875,300
Tjaronn Chery,Maccabi Haifa,Hollanda,1000-10000,Ortasaha,30-40,13,379,0-100,30100,337
Daan de Pever,Vise,Belçika,0-500,Ortasaha,30-40,4,50,0-100,3541,38
Francisco Sanchez D Avolio,F91 Dudelange,Ýspanya,0-500,Ortasaha,30-40,2,20,0-100,1463,16
Ervin Zukanovic,Fatih Karagümrük,Bosna-Hersek,500-1000,Defans,30-40,12,335,0-100,28436,317
Admir Aganovic,Landskrona,Bosna-Hersek,0-500,Forvet,30-40,8,145,0-100,8809,102
Jo Coppens,Lilleström,Belçika,0-500,Kaleci,30-40,13,211,0-100,18795,210
Brecht Delbeke,Cercle Brugge,Belçika,0-500,Defans,25-30,1,6,0-100,453,5
Anthony Portier,Beerschot VA,Belçika,500-1000,Defans,30-40,7,149,0-100,12052,128
Frederik Boi,Royal Knokke,Belçika,500-1000,Defans,30-40,7,160,0-100,12022,140
Luuk de Jong,Sevilla,Hollanda,10000-50000,Forvet,30-40,13,497,100-200,35675,395
Vuza Nyoni,Mons,Zimbabwe,500-1000,Defans,30-40,6,124,0-100,10041,108
Jonas Buyse,OMS Ingelmunster,Belçika,0-500,Ortasaha,25-30,2,33,0-100,2895,33
Lukas van Eeno,Westerlo,Belçika,500-1000,Ortasaha,25-30,13,323,0-100,23195,265
Bojan Bozovic,Sutjeska Niksic,Karadað,0-500,Forvet,30-40,8,181,0-100,9485,111
Nikita Rukavytsya,Maccabi Haifa,Avustralya,500-1000,Ortasaha,30-40,13,336,100-200,22175,272
Stijn de Smet,SV Roeselare,Belçika,1000-10000,Forvet,30-40,11,302,0-100,18034,214
Yaroslav Godzyur,Ural,Ukrayna,1000-10000,Kaleci,30-40,12,202,0-100,18011,199
Steve Colpaert,Royal Antwerp,Belçika,1000-10000,Defans,30-40,9,273,0-100,23375,263
Stepan Sikach,Samtredia,Moldova,0-500,Kaleci,30-40,10,130,0-100,11184,126
Miguel Dachelet,Wiltz,Belçika,500-1000,Defans,30-40,9,132,0-100,10385,116
Steffen Ernemann,Sogndal,Danimarka,0-500,Ortasaha,30-40,10,214,0-100,14723,168
Khaleem Hyland,Al Baten,Trinidad ve Tobago,500-1000,Ortasaha,30-40,13,381,0-100,30588,354
Mikhail Mischenko,FK Taraz,Rusya,0-500,Defans,30-40,11,173,0-100,14123,155
Sergey Bendz,SKA Rostov,Rusya,500-1000,Defans,30-40,12,219,0-100,17008,193
Thomas Matton,Gent,Belçika,500-1000,Ortasaha,30-40,10,203,0-100,14356,160
Teddy Chevalier,Valenciennes,Fransa,1000-10000,Forvet,30-40,12,375,100-200,27521,304
Chris Makiese,Vise,Fransa,0-500,Forvet,30-40,7,92,0-100,3465,33
Ernest NFor,Temse,Kamerun,500-1000,Forvet,30-40,11,247,0-100,18474,204
Tarmo Neemelo,Paide Linnameeskond,Estonya,0-500,Forvet,30-40,15,253,0-100,9265,94
Andrey Kobenko,FC Akhmat Grozny,Rusya,500-1000,Ortasaha,30-40,4,67,0-100,3795,46
Guy Essame,Atyrau,Kamerun,0-500,Ortasaha,30-40,12,162,0-100,11561,129
Zaur Sadaev,MKE Ankaragücü,Rusya,0-500,Forvet,30-40,12,188,0-100,8310,94
Tom Muyters,Roda,Belçika,0-500,Kaleci,30-40,9,181,0-100,16016,178
Simon Mignolet,Club Brugge,Belçika,1000-10000,Kaleci,30-40,12,435,0-100,39090,433
Daan Vaesen,Duffel,Belçika,0-500,Defans,30-40,4,50,0-100,4170,49
Giel Deferm,Thes Sport,Belçika,0-500,Defans,30-40,11,228,0-100,17962,205
Jonathan Wilmet,Waasland-Beveren,Belçika,500-1000,Ortasaha,30-40,9,208,0-100,12318,129
Jeroen Appeltans,Leopoldsburg,Belçika,0-500,Ortasaha,30-40,2,14,0-100,600,7
Jorique Antheunis,Sint-Truiden,Belçika,0-500,Ortasaha,25-30,2,19,0-100,894,10
Issame Charai,Sint-Truiden,Madagaskar,0-500,Forvet,30-40,1,10,0-100,575,6
Mark Reynolds,Dundee United,Ýskoçya,500-1000,Defans,30-40,14,440,0-100,37604,420
John Sutton,Greenock Morton,Ýngiltere,0-500,Forvet,30-40,11,372,0-100,24158,257
Darren Lee Smith,Motherwell,Ýskoçya,0-500,Ortasaha,30-40,2,34,0-100,798,6
Jamie Murphy,Hibernian,Ýskoçya,1000-10000,Forvet,30-40,14,419,0-100,28974,327
Marc Fitzpatrick,Airdrieonians,Ýskoçya,0-500,Ortasaha,30-40,10,200,0-100,15389,174
James OBrien,Notts County,Ýrlanda,0-500,Ortasaha,30-40,14,434,0-100,29518,325
Ross Forbes,Dumbarton,Ýskoçya,0-500,Ortasaha,30-40,11,322,0-100,22969,256
Graeme Meldrum Smith,Stenhousemuir,Ýskoçya,0-500,Kaleci,30-40,13,360,0-100,32094,358
Artem Rebrov,Spartak Moscow,Rusya,1000-10000,Kaleci,30-40,13,142,0-100,12362,137
Zelao,Penapolense,Brezilya,500-1000,Defans,30-40,8,134,0-100,11703,131
Ruslan Nakhushev,Mordovia Saransk,Rusya,500-1000,Defans,30-40,8,155,0-100,12245,140
Artur Kotenko,FC Levadia Tallinn,Estonya,0-500,Kaleci,30-40,19,227,0-100,19833,220
Denis Halilovic,Fuzinar,Slovenya,0-500,Defans,30-40,9,152,0-100,12197,143
Arild Ostbo,Viking,Norveç,0-500,Kaleci,25-30,10,104,0-100,8852,97
Trond Bertelsen,Sandnes Ulf,Norveç,0-500,Defans,30-40,9,223,0-100,18593,208
Borre Steenslid,Molde,Norveç,500-1000,Defans,30-40,5,87,0-100,7665,82
Vegard Aanestad,Sandnes Ulf,Norveç,0-500,Defans,30-40,4,85,0-100,6755,72
Evgeni Malkov,Saturn Ramenskoye,Rusya,0-500,Defans,30-40,2,7,0-100,541,6
Hakon Skogseid,Stabaek,Norveç,0-500,Defans,30-40,9,237,0-100,20415,229
Andreas Ulland Andersen,Vard Haugesund,Norveç,0-500,Defans,30-40,7,87,0-100,5371,58
Gojko Ivkovic,Nest-Sotra,Sýrbistan,0-500,Defans,30-40,1,16,0-100,1168,13
Vidar Nisja,Sandnes Ulf,Norveç,500-1000,Ortasaha,30-40,11,261,0-100,15734,170
Christian Landu-Landu,Sandnes Ulf,Norveç,0-500,Ortasaha,25-30,13,235,0-100,14779,162
Martin Fillo,Banik Ostrava,Çek Cumhuriyeti,0-500,Ortasaha,30-40,13,338,0-100,25329,287
Jorgen Horn,Sarpsborg 08,Norveç,500-1000,Defans,30-40,13,208,0-100,16956,192
Joakim Austnes,Viking,Norveç,0-500,Forvet,30-40,3,26,0-100,897,9
Tommy Höiland,Viking,Norveç,500-1000,Forvet,30-40,13,289,0-100,14507,156
Sinan Ayrancý,Hammarby,Türkiye,0-500,Forvet,30-40,6,50,0-100,2794,33
Roman Vorobjov,FK Leningradets,Rusya,0-500,Ortasaha,30-40,13,283,0-100,17527,192
Aleksandr Sapeta,Nizhny Novgorod,Rusya,1000-10000,Ortasaha,30-40,13,281,0-100,18745,214
Aleksey Ivanov,Anzhi Makhachkala,Rusya,1000-10000,Ortasaha,30-40,5,123,0-100,9325,104
Vladimir Yurchenko,Dnepr Mogilev,Belarus,0-500,Forvet,30-40,8,73,0-100,3223,37
Leonid Kovel,Belshina,Belarus,0-500,Forvet,30-40,15,223,0-100,12766,134
Andre Hansen,Rosenborg,Norveç,1000-10000,Kaleci,30-40,12,341,0-100,30301,340
Lars-Kristian Eriksen,Odds BK,Norveç,0-500,Defans,30-40,10,190,0-100,15586,174
Havard Nordtveit,Hoffenheim,Norveç,1000-10000,Ortasaha,30-40,12,361,0-100,26396,295
Marius Johnsen,Lilleström,Norveç,500-1000,Defans,30-40,4,37,0-100,2744,31
Stian Ringstad,Ullensaker / Kisa,Norveç,0-500,Defans,25-30,11,189,0-100,13676,159
Pal Andresen,Strommen,Norveç,0-500,Defans,30-40,12,185,0-100,13345,153
Kristoffer Tokstad,Stromsgodset,Norveç,0-500,Defans,25-30,12,222,0-100,14584,173
Samet Yüksel,Sultangazispor,Türkiye,0-500,Ortasaha,30-40,16,324,0-100,17886,194
Alhassane Dosso,Kongsvinger,Fildiþi Sahili,0-500,Ortasaha,30-40,1,11,0-100,731,9
Fredrik Gulbrandsen,Baþakþehir FK,Norveç,1000-10000,Forvet,25-30,12,290,0-100,15097,172
Khaled Mouelhi,Lilleström,Tunus,0-500,Ortasaha,30-40,5,71,0-100,5805,65
Mathis Bolly,Molde,Fildiþi Sahili,0-500,Forvet,30-40,11,178,0-100,7633,76
Ruben Gabrielsen,Toulouse,Norveç,500-1000,Defans,25-30,11,259,0-100,20790,229
Björn Sigurdarson,Lilleström,Ýzlanda,1000-10000,Forvet,25-30,12,284,0-100,18191,201
Magnus Myklebust,Hodd,Norveç,500-1000,Forvet,30-40,9,181,0-100,11319,140
David Loria,Kairat,Kazakistan,0-500,Kaleci,30-40,13,174,0-100,15395,173
Edwin Eziyodawe,Shabab Al Ghazieh,Nijerya,500-1000,Forvet,30-40,3,50,0-100,2826,30
Nosa Igiebor,Anorthosis,Nijerya,1000-10000,Ortasaha,30-40,10,267,0-100,17872,211
Dan Fellus,Strommen,Norveç,0-500,Forvet,30-40,2,31,0-100,1706,18
Antonio Ferreira,Sao Bernardo FC,Brezilya,1000-10000,Defans,30-40,12,221,0-100,18163,205
Dmitri Yatchenko,Shakhter Karagandy,Rusya,1000-10000,Defans,30-40,13,328,0-100,26523,299
Vladimir Kisenkov,Kaluga,Rusya,0-500,Defans,30-40,8,117,0-100,10156,115
Anderson Ribeiro,Zebbug Rangers,Brezilya,0-500,Ortasaha,30-40,2,16,0-100,400,12
Gogita Gogua,Shevardeni 1906,Gürcistan,1000-10000,Ortasaha,30-40,17,279,0-100,18801,219
Aslan Mashukov,Fakel,Rusya,500-1000,Ortasaha,30-40,5,79,0-100,5931,67
Kazbek Geteriev,Spartak Nalchik,Kazakistan,0-500,Ortasaha,30-40,11,164,0-100,13122,148
Kantemir Berkhamov,Arsenal Tula,Rusya,500-1000,Ortasaha,30-40,9,142,0-100,9267,112
Nazir Kazharov,Angusht,Rusya,500-1000,Forvet,30-40,7,74,0-100,4808,56
Arsen Goshokov,KAMAZ,Rusya,0-500,Forvet,25-30,7,119,0-100,6352,66
Rustem Kalimullin,Ulisses,Rusya,0-500,Forvet,30-40,6,64,0-100,3735,43
Pal Andre Helland,Rosenborg,Norveç,500-1000,Forvet,30-40,11,247,0-100,14409,181
Sami Ýzcican,Ulalar Bld.Gençlik,Türkiye,0-500,Forvet,30-40,14,366,0-100,23142,263
Kenneth Udjus,Asker,Norveç,500-1000,Kaleci,30-40,8,115,0-100,10101,114
Birkir Saevarsson,Valur,Ýzlanda,0-500,Defans,30-40,14,435,0-100,36521,411
Rodolph Austin,Esbjerg,Jamaika,0-500,Ortasaha,30-40,13,379,0-100,29920,341
Bjarte Haugsdal,Oygarden,Norveç,0-500,Forvet,30-40,12,195,0-100,14690,171
Cato Hansen,Sandefjord,Norveç,0-500,Forvet,30-40,6,72,0-100,3479,38
Adam Kwarasey,Valerenga,Gana,1000-10000,Kaleci,30-40,12,308,0-100,27474,306
Kim Andre Madsen,Asker,Norveç,500-1000,Defans,30-40,15,209,0-100,17740,204
Marius Boldt,Mjondalen,Norveç,0-500,Defans,30-40,3,5,0-100,361,4
Komlan Amewou,Nimes,Togo,500-1000,Ortasaha,30-40,7,129,0-100,8221,87
Fredrik Nordkvelle,Odds BK,Norveç,0-500,Ortasaha,30-40,13,359,0-100,22902,261
Alfred Sankoh,Notodden,Sierra Leone,0-500,Ortasaha,30-40,11,235,0-100,15840,193
Ola Kamara,DC United,Norveç,1000-10000,Forvet,30-40,13,347,100-200,23012,247
Marcus Pedersen,HamKam,Norveç,500-1000,Forvet,30-40,13,290,100-200,20262,233
Steffen Nyström,Fredrikstad,Norveç,0-500,Forvet,30-40,8,126,0-100,6206,67
Mohammed Keita,Stromsgodset,Mali,500-1000,Forvet,30-40,5,88,0-100,4901,59
Troy Perkins,Seattle Sounders,ABD,0-500,Kaleci,30-40,8,197,0-100,17663,196
Stefan Strandberg,Ural,Norveç,1000-10000,Defans,30-40,11,266,0-100,22257,249
Mario Martinez,Real Espana,Honduras,0-500,Ortasaha,30-40,11,202,0-100,13155,163
Mohammed Fellah,Valerenga,Norveç,500-1000,Forvet,30-40,12,210,0-100,12868,151
Mustafa Abdellaoue,Sarpsborg 08,Norveç,0-500,Forvet,30-40,12,303,100-200,17914,202
Harmeet Singh,Sandefjord,Norveç,1000-10000,Ortasaha,30-40,13,301,0-100,21930,237
Kristian Brix,KFUM Oslo,Norveç,0-500,Defans,30-40,11,197,0-100,14411,168
Amin Nouri,Valerenga,Norveç,0-500,Defans,30-40,12,265,0-100,21154,229
Dawda Leigh,Kristiansund BK,Norveç,0-500,Forvet,30-40,5,65,0-100,3423,35
Mohammed Abdellaoue,Valerenga,Norveç,500-1000,Forvet,30-40,10,251,0-100,17040,202
Jan Kjell Larsen,Stabaek,Norveç,0-500,Kaleci,30-40,5,78,0-100,6959,76
Elias Valderhaug,Molde,Norveç,0-500,Kaleci,30-40,1,6,0-100,487,6
Vegard Forren,Brann,Norveç,1000-10000,Defans,30-40,13,405,0-100,35024,397
Makhtar Thioune,Vidar,Senegal,0-500,Ortasaha,30-40,8,204,0-100,14725,167
Mattias Moström,Molde,Ýsveç,500-1000,Forvet,30-40,13,332,0-100,21753,257
Aksel Skjolsvik,Sandnes Ulf,Norveç,0-500,Ortasaha,30-40,8,193,0-100,13200,148
Rune Ertsas,Alta,Norveç,0-500,Forvet,30-40,5,87,0-100,3322,31
Mame Biram Diouf,Hatayspor,Senegal,1000-10000,Forvet,30-40,13,366,100-200,24001,269
Pape Pate Diouf,Arendal,Senegal,0-500,Forvet,30-40,11,220,0-100,13254,155
Sergey Golyatkin,Granit Mikashevichi,Rusya,0-500,Defans,30-40,6,71,0-100,5597,65
Djordje Jokic,Vojvodina,Sýrbistan,500-1000,Defans,30-40,5,104,0-100,9212,103
Norbert Nemeth,Pinzgau Saalfelden,Macaristan,0-500,Ortasaha,30-40,7,110,0-100,6688,75
Aleksandr Kharitonov,Yenisey Krasnoyarsk,Rusya,1000-10000,Ortasaha,30-40,13,244,0-100,17054,194
Viktor Elm,Kalmar,Ýsveç,1000-10000,Ortasaha,30-40,13,402,0-100,31421,361
Vladimir Dyadyun,Khimki,Rusya,1000-10000,Forvet,30-40,11,273,0-100,14843,161
Luciano Narsingh,Feyenoord,Hollanda,1000-10000,Forvet,30-40,13,334,0-100,20203,220
Pawel Wojciechowski,Gornik Leczna,Polonya,0-500,Forvet,30-40,10,157,0-100,9431,107
Simon Ford,Kilmarnock,Ýngiltere,0-500,Defans,30-40,3,78,0-100,6504,77
Craig Bryson,Aberdeen,Ýskoçya,1000-10000,Ortasaha,30-40,14,450,0-100,34132,388
Mehdi Taouil,St. Maur Lusi,Fas,0-500,Ortasaha,30-40,12,287,0-100,19223,211
Gavin Skelton,Barrow,Ýngiltere,500-1000,Ortasaha,30-40,5,101,0-100,7734,87
Ryan OLeary,Orange County SC,Ýskoçya,0-500,Defans,30-40,7,76,0-100,5640,63
Martijn van der Laan,Cambuur,Hollanda,0-500,Defans,30-40,9,127,0-100,9637,109
Tim Clancy,Bray Wanderers,Ýrlanda,0-500,Defans,30-40,10,182,0-100,14791,169
Sepp De Roover,NAC Breda,Belçika,500-1000,Defans,30-40,9,201,0-100,16873,187
Jamie Hamill,Stranraer,Ýskoçya,0-500,Ortasaha,30-40,14,405,0-100,33850,378
Iain Flannigan,Alloa Athletic,Ýskoçya,0-500,Ortasaha,30-40,11,237,0-100,17409,195
Conor Sammon,Falkirk,Ýrlanda,0-500,Forvet,30-40,13,419,0-100,22917,241
Gibril Sankoh,Meizhou Hakka,Sierra Leone,0-500,Defans,30-40,11,270,0-100,22951,253
Manuel Pascali,AC Fanfulla 1874,Ýtalya,0-500,Ortasaha,30-40,12,304,0-100,24872,281
Ondrej Svejdik,Slavoj Vysehrad,Çek Cumhuriyeti,0-500,Defans,30-40,13,254,0-100,20753,232
Tom Hiariej,Emmen,Hollanda,0-500,Ortasaha,30-40,13,268,0-100,19595,227
Koen van de Laak,Ajax Cape Town,Hollanda,500-1000,Ortasaha,30-40,9,181,0-100,12473,140
Danny Holla,Sliema Wanderers,Hollanda,500-1000,Ortasaha,30-40,14,307,0-100,23783,277
Shkodran Metaj,HHC Hardenberg,Hollanda,500-1000,Ortasaha,30-40,12,233,0-100,16115,182
Ivan Pillud,Racing Club,Arjantin,1000-10000,Defans,30-40,13,298,0-100,24287,279
Frank Olijve,SV Spakenburg,Hollanda,0-500,Ortasaha,30-40,12,203,0-100,14613,165
Serhat Koç,TEC,Türkiye,0-500,Forvet,30-40,9,134,0-100,8827,102
Tim Matavz,Al Wahda,Slovenya,1000-10000,Forvet,30-40,15,390,100-200,25555,275
Nicklas Pedersen,Emmen,Danimarka,1000-10000,Forvet,30-40,12,233,0-100,12389,140
Mario Gavranovic,Dinamo Zagreb,Ýsviçre,1000-10000,Forvet,30-40,12,351,100-200,21846,269
Mikhail Komarov,Zorkiy,Rusya,0-500,Kaleci,30-40,6,83,0-100,7362,83
Andrey Streltsov,Daugava Daugavpils,Rusya,0-500,Defans,30-40,4,45,0-100,3119,35
Viktor Golovatenko,Krasnodar,Moldova,500-1000,Defans,30-40,6,57,0-100,4794,51
Boris Rotenberg,Lokomotiv Moscow,Rusya,0-500,Defans,30-40,9,78,0-100,4243,56
Vule Trivunovic,FK Sarajevo,Bosna-Hersek,0-500,Defans,30-40,6,72,0-100,6020,67
Nenad Nastic,Proleter Novi Sad,Sýrbistan,0-500,Defans,30-40,5,20,0-100,1468,16
Oleg Samsonov,Fakel,Rusya,1000-10000,Ortasaha,30-40,7,135,0-100,8921,105
Ivan Cvetkovic,Javor Ivanjica,Sýrbistan,0-500,Ortasaha,30-40,9,193,0-100,13854,150
Tiago Pinto,MKE Ankaragücü,Portekiz,0-500,Defans,30-40,12,311,0-100,25961,290
Jani Virtanen,TPS Turku,Finlandiya,0-500,Ortasaha,30-40,12,229,0-100,12526,143
Andre Marques,Moreirense,Portekiz,0-500,Defans,30-40,10,95,0-100,6849,80
Eldar Nizamutdinov,Shinnik,Rusya,500-1000,Forvet,30-40,12,296,0-100,20724,251
Joao Gonçalves,Vitoria Guimaraes,Portekiz,1000-10000,Defans,30-40,4,51,0-100,4291,49
Pedro Celestino,Pinhalnovense,Portekiz,0-500,Ortasaha,30-40,12,218,0-100,15787,185
Celsinho,Vila Nova,Brezilya,500-1000,Ortasaha,30-40,11,162,0-100,9033,103
Joao Paulo Martins,Academico Viseu,Portekiz,500-1000,Ortasaha,30-40,6,111,0-100,8037,91
Andre Santos,Grasshoppers,Portekiz,500-1000,Ortasaha,30-40,12,325,0-100,23189,261
Carlos Saleiro,Port Vale,Portekiz,0-500,Forvet,30-40,8,126,0-100,5530,53
Stephen ODonnell,Dundee FC,Ýskoçya,0-500,Ortasaha,30-40,7,83,0-100,4471,50
